Unnamed: 0,rating,title,text,topic
18,5.0,Ultimate Brow Game Changer!,"Love, LOVE this!!! If you don’t own one, it’s a MUST! Awesome beauty product for the price! I am a licensed esthetician and am trained to sculpt brows. I purchased this for myself and cannot believe I almost spent $25.00 for just one of the “name” brand. Great value for the price! I was so impressed, I just bought TWO more!",Complete Brow Kit
19,5.0,Easy to use!,Love that this came with eyebrow razor and great tweezers...these are my new favorite!,Complete Brow Kit
20,2.0,Great concept and design. Product didnt flow enough.,When I received the pen was very dry.  I shook the product which helped some.  The concept and the tip was a good idea.  But wasn't satisfied with the flow and amount.,Product Drying Out
21,5.0,Works great! Will buy again!,"I have tried other waterproof, all-day eyebrow pens before and some were good at first but dried up after 3 or 4 uses. I purposely waited 3 months before reviewing this product and they are still working great. They are definitely smudge-proof and water-proof but come off easily in the shower with soap and water. I wasn't sure which color to get so I bought both the dark grey color and the brown since my eyebrows are black but I have blonde hair. I'm glad I got both - I use the black/grey one to draw small individual ""hairs"" and then I use the brown to fill it in for a more natural look. I will definitely be purchasing again -",Complete Brow Kit
22,5.0,Smudge proof,Very good,Complete Brow Kit
23,5.0,Impressed,Just rcvd my order. I was under the impression I only ordered the pen(guess that happens when you find what you need and are in a hurry). Pleasantly surprised when I got additional items.,Included Bonus Tools
24,3.0,COLOR MATCHING,Color is not right.<br />The dark brown is definitely NOT dark brown.  Definitely more chestnut/Lt. Brown.  Too bad there is no real dark brown.,Color Matching Issues
25,5.0,Great eyebrow pen!,"There are several in the market that have this type of tip to create multiple thin strokes but this one is my favorite so far. It creates realistic hair-like strokes and the chestnut color was not too dark. Really like it.  This also came with eyebrow stencils and a brow razor so that was a nice bonus. Great price, arrived quickly, will buy again.",Complete Brow Kit
26,5.0,Easier than expected,"I like this a lot. My typical brow filler of choice has been powder with a brush, but this is now a contender for first place. (Pencil is 3rd choice.) This brown pen color stayed in place all day, even through a workout and me touching them during the workout. I got the dark brown/chestnut and wish it was a little darker, but with my current hair color, this works better than black would. I made up the color difference by just applying it all the way through the brows (not just on the gaps), which looks great and even looks pretty natural.",Complete Brow Kit
27,5.0,Great Product that Does Not Disappoint 👍😍,This product is absolutely amazing! My brows are extremely thin and sparse. This pen did the trick. It's a plus too that the end results are smudge proof. I would definitely recommend this product. The picture included is me without any other makeup and ONLY the eyebrow pen after working ten hours. Look. Still there. I love it so much that I ordered another one. It's a keeper!,Complete Brow Kit
28,5.0,Great product!,"Tattoo pen very easy to use. The color was perfect! My eyebrows stayed all day through workout, yard work and pool!",Complete Brow Kit
29,5.0,Super buy,An excellent product - love it.,Value for Money
30,1.0,Dry and doesn’t work,I received a dry product and the color is way to light even though I ordered my color,Product Dryness Issues
31,5.0,Great product,"Really easy to use . Smudge proof, 24 hour wear, come with three templates and a brow shaping razor.  Love",Complete Brow Kit
32,2.0,The bonus items are worth the purchase alone,"Update Changing my review-- 9/8/20<br />I liked it at first, but it runs out way too fast. I also was told I would receive a gift card for my honest review and never did. So unless you want it for the stencils and the tweezers. Don't waste your time.<br /><br />I really enjoy this product! Not only is the stencils helpful, the pen does not smudge and looks really good. I LOVE the little bonus things in there like the blade and the tweezers!! They make the whole thing worth it themselves!! I would purchase again.",Included Bonus Tools
33,1.0,Waste of money !,Nope didn’t like !,Product Not As Described
34,5.0,Ommmg,"Okay so I’ve always paid 45+ dollars for the Beverly Hills Anastasia dip brow and wasn’t quite satisfied but so far that was the best I could find .. until now! This eyebrow pen is so easy to use you just sketch on your eyebrows and it looks super natural ! The pen has three points so they sketch symmetrically !! Then it comes with amazing tweezers , and eyebrow blade AND stencils . I highly recommend this product !!",Complete Brow Kit
35,5.0,No smudges & long lasting,I love it! It stayed on all day with no smudging..it’s clean looking! And the color was just right.,Long Lasting Wear
36,1.0,Eyebrows,Wasted money. Won’t purchase again.,Complete Brow Kit
37,2.0,Just ok,Just not enough in there. Very little amount.,Product Drying Out
38,5.0,I like it :),I like it :),Value for Money
39,5.0,Mimics hair strokes,I got my eyebrows microbladed about a year a go and need a retouch.  I heard about the do it yourself method. After some research I ran up on this product and thought it couldn't hurt to try it. The tweezers that came with the kit is amazing . They grab onto your hair the first time. I didn't have to the use the stencil being my eyebrows are already to perfection and just needed a boost. After opening the pen it looked actually like the product advertised. I was able to fill in the grabs within seconds. I highly recommend.,Complete Brow Kit
40,5.0,Perfect Brows,This product is a true time saver. And the brows come out right every time.,Complete Brow Kit
41,5.0,Exactly what I needed.,I loved the way the eyebrow pencil drew fine lines just where I needed to fill in sparse areas and did not smudge. And I was lucky enough to choose the right color that matched on my first try of using this product.,Complete Brow Kit
42,5.0,Wow!,Wow! Had no idea it would come with all this! Adore 💕,Included Bonus Tools
43,1.0,One use only,Dried up after one use!  Even though kid was on good.,Product Drying Out
44,5.0,Best brow product on the market,I really love this product. I’ve used several different brow products and this so far is the best. Looks natural and doesn’t smug.,Complete Brow Kit
45,1.0,This eyebrow product is a disappointment,"This product was such a disappointment.  Waist of money to buy this product,it will on on the first brow pretty good but by the time you get to the second brow it runs out of color and will not apply properly.  I liked the fCt it was smudge proff but that the only thing i like about it. I did throw it away after messing with it for a couple of weeks..",Complete Brow Kit
46,5.0,Great product,This product worked great from the first try! I have tried other Eyebrow tatoo products that were difficult to apply. This<br />made it very easy and the product stayed on for a longer time.,Complete Brow Kit
47,5.0,Great eyebrow pen,Nice brown color blends with brows,Complete Brow Kit
48,5.0,Beautiful eyebrows,I like because it’s more easy to use,Complete Brow Kit
49,2.0,Save your money.,"The pen is useless, just might as well use the eyebrow shaping thing and buy the pen or pencil yourself.",Complete Brow Kit
50,1.0,Don’t buy,Terrible to use only lady about 2 days,Product Drying Out
51,5.0,Awesome,Love this product it was so easy to use and the color matched perfectly,Color Matching Issues
52,5.0,Impulse Buy,Totally worth it. I love the little stencils it came with. Long lasting. My eyebrows look awesome :),Complete Brow Kit
53,2.0,Do Not Purchase,Does nothing it promises to do.<br />Difficult to applied correctly and evening sure to the inconsistency of liquid.,Application Difficulties
54,5.0,Works as described.,"Just received today. Works as described. Came with extras, like tweezers (which work surprisingly welli used them and was very happy), eyebrow stencils, and a eyebrow razor for that fine, baby hair. Overall, happy with product.",Complete Brow Kit
55,5.0,I love this product and you will too,"My sister-in-law told me I have to try this fine sketch eyebrow pen that it is perfect in every way, waterproof, won’t smudge, does perfect shaping. So I thought what the heck I will try it. I have tried everything and was never this happy about any product until now. I can not believe how easy it is to use, it looks natural, perfect. I feel beautiful.For me to feel this great about this product is everything to me, I even fell sexy, young and alive. Yes, we all know when you have something this great it will make you feel this way and you want to tell everyone. I firmly believe that when you buy this and try it, all the other products you ever bought was NOTHING compared to this.",Complete Brow Kit
56,1.0,Don’t waste your money,Look like I draw my eyebrows on with a crayon😮,Complete Brow Kit
57,3.0,The color has too much red pigment in it.,"I need a true deep brown color without an ""auburn"" hue to it.  Otherwise a great product.",Color Accuracy Concerns
58,1.0,Womp womp Nope!,"Wanted this to work but the 1 star review are correct. Not sure if they're old and dried out, but I can't even finish a single brow before it's too dry to use. Thought maybe if I opened both I could just use one on each eye...hah...nope. Bummer dude :/",Product Drying Out
59,5.0,Works for short term results,"It works... but after about a day of using it seems like it it drying out already. The color was supposed to be dark brown but it’s actually pretty light brown, I’m a dark haired brunette so I should have gone with black. The tip is like a marker so think of it as if you were to get one of those fine tip crayons markers and write on your face with it. For short term, it works. I would probably lay still go with a black pen if you have dark hair otherwise it will be noticeably lighter compared to the rest of your eyebrows.",Product Drying Out
60,3.0,Didn't match,"It worked, it just didn't match.",Color Matching Issues
61,5.0,long lasting and natural looking!,long lasting and natural looking! And it came with an eyebrow razor! I like how precise it is as compared to pencils and other methods.,Complete Brow Kit
62,5.0,Great product exceeded my expectations,"Long lasting, easy to use and nice color! Ordered Chestnut which is mixture of brown and black, perfect with my dark brown hair.  Came with a eye brow trimmer as well which works nicely preparing for eye makeup.",Complete Brow Kit
63,5.0,Use a Very light brush stroke! Very light!!!!,"At first, I was using it all wrong! It was too dark and looked very unnatural! With some practice to use a super feathery light touch I am now getting great results that last throughout the day! I would order again!",Complete Brow Kit
64,5.0,Use a Very light brush stroke! Very light!!!!,"At first, I was using it all wrong! It was too dark and looked very unnatural! With some practice to use a super feathery light touch I am now getting great results that last throughout the day! I would order again!",Complete Brow Kit
65,3.0,Not bad but could be better,I find it a little too thin and the brown not rich enough,Color Accuracy Concerns
66,5.0,Great and easy brows,I love the fact that it is so easy to use. It is super light and it stays well put. Does not smudge and it looks realistic. It comes with 3 brow stencils and a shaver.,Complete Brow Kit
67,5.0,Perfect eyebrow starter,Has everything you need.,Complete Brow Kit
68,5.0,Nice product,Very easy to used. Not messy and I love it.,Beginner Friendly Use
69,2.0,Very disappointed,"Day 1. Works great<br />Day 2. Did I leave the cap open ??<br />Day 2. Shaking it like crazy, threw it out !! 😡",Product Drying Out
70,1.0,Do NOT bUY,I could kick myself for not paying closer attention to the reviews that indicated that this is not a good product! It is not and I do not recommend your buying it unless you just have a few dollars to throw away! A real waste of my money.,Product Not As Described
71,5.0,Just what I was looking for!,"Great products, everything in this pink bag is goos quality!",Complete Brow Kit
72,1.0,Not impressed. No bribes should be needed.,It does smudge. It comes with a bribery note to not give them a bad review which I found very offensive. And the pen doesn’t deliver sharp enough lines to distinguish it from a regular brow pencils. Not impressed. It’s a good idea but the execution not so much.,Complete Brow Kit
73,5.0,"Really, you need this.","As a blondie who struggles to make her brows visible, this thing is a total game changer. I was thinking about microblading, but no longer need to go to that extreme. This is a cheap and easy solution to make brows look more better.",Complete Brow Kit
74,5.0,It works great!,"It really is waterproof and smudge-proof. It’s very easy to use and the color is perfect.<br />It gives your eyebrows a very natural look and lasts all day.<br />I’ll definitely buy again, highly recommend it.",Complete Brow Kit
75,5.0,Looks natursl6,Like it,Value for Money
76,5.0,What brows pen??,"This product performs as promised. When I started to use it, I received so many compliments on my brows and few people could tell it was a brow pen and not my real brows!",Complete Brow Kit
77,5.0,Pleasantly surprised!,"This is very easy to use. I have almost no eyebrows and what I have turned white.  Drawing eyebrows is easy and coloring them helps keep a youthful look.  I have spent all kinds of money to find a quality eyebrow pencil only to be continually disappointed, except I had been using Lancôme powder pencil for 25 years. It costs $30 and lasts six months, although it is not water proof..  I love it, but if this lasts new one six months, I will use this instead, because it will prove to be a good value.",Complete Brow Kit
78,2.0,DRIES OUT QUICKLY/NOT TRUE TO COLOR,This pencil dried up immediately and was very hard to get the liquid to come out. Also it isn’t true to the stated color. I returned it.,Product Drying Out
79,5.0,Goes on great,I love this!! I tried pencils and they were just too thick. Even when I sharpened them to the finest point. This goes on very delicately. I don't look like a clown. Love the little edge. You can control it very easily. I'll be ordering this again,Complete Brow Kit
80,5.0,Great complete kit!,I love all the accessories included in this kit.,Kit Completeness Accessories
81,2.0,High hopes☹️,"I was disappointed that this eyebrow pen didn’t make the cut. It was hard to use and forget trying to get a brow hair look it just blends into a smudge.  Plus I ordered dark brown and there was too much red pigment in the blend, I need more of a brown to black.",Complete Brow Kit
82,1.0,Terrible,Terrible.  It works on the first swipe but the lines are muddy and not defined.  The 2nd swipe dries up right away and you have to let it refill.,Product Drying Out
83,5.0,"Love it, very easy to use...","Nice accessories, different brow templates (I haven't use one of those yet), but definitely makes my blond brows look awesome, will definitely buy this again!",Complete Brow Kit
84,5.0,Natural looking brows!,Great fill-in for my thinning brows. Very natural looking and easy to use.,Complete Brow Kit
85,2.0,Going back to Wonderbrow!,"I liked that there were different shades within the pack, but none matched as well as I thought they would, you could also see it fairly well, def not super bendable and I found it smudged fairly easily on my combo skin...they dried out fairly quickly so I wasn’t using them a long time",Color Matching Issues
86,5.0,Super easy and fool proof,"This is fantastic value for money, the easiest thing to use and came with tweezers, a brow guide and a blading tool.  Will definitely be ordering again!",Complete Brow Kit
87,3.0,okay,too much. items,Kit Completeness Accessories
88,5.0,Love it will buy again!,"I bought this one and one by maybelline, this one was so much better than the maybelline one, it made thinner lines , the chestnut color was a beautiful brown color ,I sleep with it on and my eyebrows were still there after my shower,  love it",Complete Brow Kit
89,1.0,Make sure you get the correct color!!,First I didn’t get the gifts or stencil. Secondly the dark brown is more like a light reddish brown which was so scary. I’m sure if the correct color was purchased it would be a good product.,Color Matching Issues
90,5.0,Eyebrow pen,I've been using this for awhile now and works well to fill in my eyebrows making them appear fuller.,Complete Brow Kit
91,3.0,Not satisfied,Great idea but the product dries out fast and application is not the best. doesn't flow out very well. Very dissatisfied.,Product Drying Out
92,5.0,Great product!,Love this product. It’s the second time I’ve ordered it. Works great!,Product Drying Out
93,4.0,Easy to Use; Not Very Distinct,"The microblades on this eye pen are not as distinct as one might hope from the product image. The effect is similar to any eye pen or pencil. But it works, and that's worth four stars.",Color Accuracy Concerns
94,5.0,This is awesome and easy to use!,I absolutely love this. It's easy to use and comes with stencils to get the look you want! Awesome product.,Complete Brow Kit
95,2.0,Disappointed,"I have fine eyebrows as is, so what I fill them in with stands out. It looked fake and the lines were too thick.",Complete Brow Kit
96,5.0,Fabulous!!,Absolutely fantastic! My new go to item!,Complete Brow Kit
97,5.0,Easy to use! Great product!,I’m older and can’t hardly see without my glasses.  Product easy to use and works great!,Complete Brow Kit
98,5.0,Durable and it looks natural,Great product! Stays on for a couple of days! Will order more.,Long Lasting Wear
99,5.0,Great for Evening Out Both Brows,This is just as described. Easy to use and smudge proof. Came in a cute package for ease of storing. Love that it lasts all day. Tweezers were perfect.,Complete Brow Kit
100,5.0,Great! It's east to use.,"It is easy to use. I try to look for the one that works for me, this is the one I like the most.",Beginner Friendly Use
101,5.0,Easy to use and works as shown,"I was so excited when this arrived and tried it right away!  I am in my late 50's and over the years of plucking my brows, they have become very thin. As soon as this arrived I give it a try and it was SO easy!  It comes with a little brow comb and a brow shaping guide, but I just used it free hand and it was very easy and looks great!  We go camping a lot and spend time at a local lake, so I will definitely be ordering a 2nd one to keep in the camper!",Complete Brow Kit
102,5.0,Where has this been all my life ?!,Best thing that has ever happened to me an my eyebrows ❤️ Absolutely love !,Complete Brow Kit
103,5.0,Works Wonders,"Finally found an eyebrow pen that goes on easy, looks great and lasts all day! Such a good deal for the price, will continue using as a long term solution.",Complete Brow Kit
104,1.0,save your money,color was too orange and the pencil really is nothing special.  You'd be better off just finding a drug store pencil.,Color Accuracy Concerns
105,5.0,It’s a great product,It is easy to use. It actually looks like brow hair.,Complete Brow Kit
106,5.0,The perfect one,I've been looking for a smudge-proof eyebrow pencil and this is the perfect one! I tried it first on my wrists to see how long before it smudge after getting wet and OMG I'm so amazed! It stays long time! Good for underwater photoshoot! Love it!,Complete Brow Kit
107,5.0,I finally have a whole eyebrow again!,Easy to use and looks natural.  Doesn't have the drawn in look.  Love it!  Yay!,Complete Brow Kit
108,5.0,The best eyebrow!,This is the best eyebrow pen! I love it it’s to easy to use and l don’t have to worry about my eyebrows getting smudge!,Complete Brow Kit
109,5.0,Dries fast; Long lasting! Perfect Natural eyebrow color!!,"Dries fast!! Blends perfectly!!! Perfect color! The photo on the left is the BEFORE photo and on the right is the AFTER. How to use:<br /><br /> I traced my eyebrown with mascara using the #1 stencil, cut around the brow to clean up the shape using the razor, trimmed with manicure scissors, wiped away the mascara outline then used the 4-point eyebrow pen to define/highlight the shape! They looked amazing, so natural!! It glides easily and evenly. Although, I made the mistake of wiping my face and forgot the liner was on my eyebrows and it did not smudge, or wipe away!!! Last long!",Complete Brow Kit
110,5.0,Perfecto👌,Fácil de usar,Value for Money
111,2.0,Horrible,Cheap. Unrealistic.,Value for Money
112,5.0,Great pen to add some tint!,Absolutely perfect. This is EXACTLY what I was looking for!! It’s like a marker honestly so I lighter brushed it onto my hairs lightly and made sure not to touch the skin- you can if your fully filling in and brushing out- I just need a bit of tint to my brows and this does an amazing job!!! Will definitely re order and yes the tip is like 3 little PCs like a micro blade. Would definitely recommend.,Complete Brow Kit
113,1.0,😒,it's a really  bad product,Product Drying Out
114,5.0,Great product.,Great product,Kit Completeness Accessories
115,2.0,Not worth it.,I just wasn’t impressed with this product. I have used much better.,Product Drying Out
116,5.0,What an amazing product.,I loved that it made my eyebrows look natural.,Complete Brow Kit
117,5.0,It works!  The color was on point,I got it the very next day after ordering and used it first thing this morning.  I host zoom meetings for my job so looking professional is a must.  I felt very confident after applying the brow pen and it looks absolutely natural.  I would recommend this to every gal trying to look her best!,Complete Brow Kit
118,5.0,Great product!,It was very easy to use and didn't smudge.  I really like this product.  I have tried many products and this one is straight forward and very easy to use and looks great on.  I feel confident that I have finally found a product that works well and does exactly what it claims.  Great product!,Complete Brow Kit
119,5.0,it is water proof,is 100 % water proof,Value for Money
120,5.0,Best Eyebrow Pen,"I have tried every eyebrow product on the market and  I would say this is the best one. The pen is easy to use for application, product does not smudge and looks natural. I plan to buy it again.",Complete Brow Kit
121,5.0,Recommend 💯,Love this product!<br />It’s so easy to use; doesn’t take much time to make your eyebrows perfect 👌🏻 And it DOESN’T  look like you drew them on your face! Natural look!<br />Love the fact it doesn’t just disappear off your face when you sweat.,Complete Brow Kit
122,5.0,Easy to use,This is amazing.  My eyebrows look great and stays on all day.  It also comes with a kit which makes it easier if you want a different shape brows. I got the  dark brown and it fits great for my fair skin.,Complete Brow Kit
123,5.0,Yes! I will buy it again!,Love this! Great bang for the buck!<br /><br />Easy to use! Zero smudge! Long lasting. Will absolutely order again!,Complete Brow Kit
124,5.0,Worth the hype!,Very easy to use best eyebrow product I have found,Complete Brow Kit
125,5.0,Perfect for a natural look!,I can’t get over how amazing this eyebrow pen is especially for someone like who can’t get the shape of my eyebrows to look natural and is far from being a pro! I needed a pen that is quick and easy (especially with the pronged tip) in my day to day schedule and gives me the long lasting natural look to get me through my day despite my oily skin. This is a must add to your makeup routine.,Complete Brow Kit
126,5.0,I love this product.,Great price and it’s great that it comes with all the tools needed to make my eyebrows look great. Thank you.,Complete Brow Kit
127,5.0,Full eyebrows again.,"This pen works great to fill in my patchy eyebrows. It takes a little practice to get the strokes correct, but looks great once completed. My eyebrows stay on all day.",Complete Brow Kit
128,5.0,Perfect.Perfecto !!,"I loved ,perfect !! .Me encanta es perfecto ,es la 4 vez que lo compro .Lo recomiendo mucho !!!.Dura todo el dia sin correrse!!",Value for Money
129,5.0,How easy it is to use and how natural it looks.,It is so easy to use and the color was perfect.,Beginner Friendly Use
130,5.0,Lasts all day,Lasted all day!,Long Lasting Wear
131,5.0,Easy and realistic,"I like the natural look when I finish. My husband even said, “ you look very nice!”<br />I didn’t say why.",Complete Brow Kit
132,1.0,Not to happy,Not the right color for my eyebrows and the wicks were drying out,Product Drying Out
133,1.0,Not what it advertised it to be,Not as advertised. Barely marks. It says it can draw hairlike lines. Not really,Product Not As Described
134,5.0,Eyebrows look natural,"I really like this product. The ease of application, and the brown color is perfect with my hair. It does not look like fake brows. It dried quickly on the brow. I would recommend this for a nicely shaped brow. No mess and simple.",Complete Brow Kit
135,5.0,Awesome product,Love it,Complete Brow Kit
136,3.0,"Pencil works, just not the look I'd hoped for","I will use this product, since I ordered it, but, like any eyebrow pencil I've used in the past, it doesn't look natural, it clumps up, & the color doesn't match my own. The  little tips make a nice ""hair line"" look, but only in the areas where I can angle it correctly. On the arch of my brow, where I need it the most, it's hard to get a good angle & it looks gloppy. On the positive side, it is water & smudge-proof, as advertised, & it comes off easily with make-up remover. The pencil itself works, it's just not the look I'd hoped for.",Color Accuracy Concerns
137,5.0,Facil de Usar,Me encanto el producto,Value for Money
138,5.0,Best eyebrow product,This is THE only eyebrow product you will<br />Need!,Complete Brow Kit
139,5.0,Easy. Looks great. Makes me look fine!,I love the fact it appears to actually be eyebrows and not a swipe of color. Great prod t!,Complete Brow Kit
140,5.0,Love this product,"Finally, a great eyebrowpen that looks natural and it's waterproof!!!",Complete Brow Kit
141,5.0,Looks so natural!,Easy to apply and looks so much more natural than the single eyebrow pencils.<br />Great price and great product.  Thanks so much!,Complete Brow Kit
142,5.0,👍🏽,Works and looks amazing,Complete Brow Kit
143,5.0,Great deal!,"Great deal especially for the price! It comes with 3 different outline shapers for your brows and a blade for shaping as well. The eye brow pencil itsself was very easy to use, looks very natural and it stayed on all day without smudging. I love how the three prongs make it look just like your brows! Would highly recommend.",Complete Brow Kit
144,5.0,Love it,This little brush makes my brokers look amazing natural look💕,Complete Brow Kit
145,5.0,Love it! Buy it! Can't lose.,The first minute while it's drying it looks a bit wet and marker-y and after that it dries to a very natural finish for me. I had to look hard to discern what was my real hair and what I had added in.,Complete Brow Kit
146,5.0,😊,Perfect,Value for Money
147,5.0,Love it!,First time using an eyebrow pen like this! Love the hair-like strokes!,Complete Brow Kit
148,5.0,Nice pronged eyebrow pen,"I was looking for a pronged, smudge proof eyebrow pen with a small tip, that was reasonably priced. Previously used Lottie London which is no longer available at Target. So far this pen has delivered. Pen came with an eyebrow razor and three eyebrow stencils which was unexpected but a nice perk.",Complete Brow Kit
149,5.0,Smudge free and affordable,Great and affordable eyebrow pen that’s smudge proof. I had to reallyyy rub my eyebrows to get it to budge but with a little makeup remover it’s easy to remove. Perfect for all day long wear :),Complete Brow Kit
150,1.0,Pure Crap!,The tweezers were missing. Color was very off like bright red! Ran out after one eyebrow vendor did not respond to me.,Complete Brow Kit
151,5.0,Great brow pen!,I use this pen every day to freshen up my micro blading. It is like a tattoo!,Complete Brow Kit
152,2.0,Wish is wasn’t dried out,Ink was try,Product Drying Out
153,3.0,So-so,"Better than a pencil, but don’t feel it’s worth the price",Color Accuracy Concerns
154,5.0,It’s awesome,"It does everything it says it does, and has cut my eyebrow coloring routine time by half.",Complete Brow Kit
155,5.0,works great,very good,Value for Money
156,1.0,Ehh,I had high hopes as this Product had pretty good reviews. When I use it I found it to be kind of sloppy when it actually worked most of the time it felt like the application tip was dry and not making any kind of Mark.,Product Dryness Issues
157,5.0,Fun affordable,Perfect Gave Me Just What I Was looking For !!!!! I am So Happy With it My look is complete and its so easy to use !!😍😍,Complete Brow Kit
158,5.0,Definitely worth buying it!,"Great product! Works just like advertised, goes on smoothly, easy to apply and stays  on until removing with makeup wipes.<br />It looks very natural and I got quite a few compliments lately:-)",Complete Brow Kit
159,5.0,Great product!,Quick learning curve. Fast and easy to use. Lasts all day. End results meet expectations. Would buy again and try a different color.,Beginner Friendly Use
160,5.0,Perfect Brow Pencil,It's smudge-proof.,Complete Brow Kit
161,5.0,Great product,This product is amazing.. I use to pluck my eye brow all the time and in doing so they dont grow back in anymore so this is definitely a game changer.. Will definitely get it again,Complete Brow Kit
162,5.0,Great product.,I’m very please with my Eyebrow pen microblade. It is easy to use and does not smear. I would highly recommend it.,Complete Brow Kit
163,1.0,Unnatural & Harsh Color,"Sadly, the color (dk brown) is still is off, with a reddish tint. Also, unnatural strokes. Yes, there’s a learning curve, but I still feel the product coloring is too harsh & unnatural. I’ll hang onto it, mainly to avoid the return hassle for such a small item. Would not recommend if your brows are sparse or brown, blonde or in between.",Color Accuracy Concerns
164,5.0,Looks great!,Easy to use for even those who are inexperienced,Beginner Friendly Use
165,5.0,Good applicator,really good tool to add dimension and pseudo volume,Included Bonus Tools
166,1.0,Dried out fast,Dried out after a few days even though I kept it upright when stored. Bought the bowbeen tattoo brow pen and it has been working much better and has an extra tattoo prong,Product Drying Out
167,5.0,Easy to use,"The pen was easy to use and that says alot for me, because I'm new to wearing makeup and had no issues. It does what it describes.",Beginner Friendly Use
168,5.0,Love this for my eyebrows!,This is my second time purchasing. Helps fill in fading eyebrow color. Very easy to use and natural looking. Thank you!,Complete Brow Kit
169,5.0,Love!,Easy to use kit! Eyebrows do not come off during the day! Love!!!,Complete Brow Kit
170,5.0,Absolutely wonderful product,"This eyebrow pen is so great! it not only filled in my thinning brows, it looks like professional microblading. It is long-lasting and a good shade. Eyes are so important now with masks covering half your face. This pen helps your eyebrows look their best. Definitely recommend!",Complete Brow Kit
171,5.0,good,Good,Value for Money
172,2.0,Shopper Disappointed,it dried up after only 2 uses. I wish the liquid would last longer. Concept is good but quality of the product is not.,Product Drying Out
173,3.0,Great concept but dried out quickly,Loved the product the first couple days using but the pen dried out within a week...,Product Drying Out
174,5.0,Good product,Good product. A little lighter than I expected but good all in all.,Kit Completeness Accessories
175,5.0,really love this!!,exactly as described and i love the extra eyebrow shapers provided. Item work really well.,Complete Brow Kit
176,5.0,Great natural- looking brows!,I like this product because it’s easy to use. The three “prong” tip makes the eyebrows look more natural!,Complete Brow Kit
177,1.0,No fine lines,This does no better than a regular eyebrow pencil. In fact I think its possibly worse.,Complete Brow Kit
178,2.0,fine lines,"The ability to create just ""fine"" lines.  Just couldn't get that effect.  the lines were not lash size and seemed to glob.  didn't have any problem removing, it just wiped off.  Needs to have ""finer"" applicator to achieve the eyebrow look.",Complete Brow Kit
179,5.0,Awesome,Love it,Value for Money
